janamdivas	जन्मदिवस
rakha	रक्खा
milijuli	मिलीजुली
jaanchon	जांचों
chamkata	चमकता
kayiyon	कईयों
speaks	स्पिंक्स
dau	दाऊ
shancitt	शांतचित्त
brakers	ब्रेकर्स
parvataarohiyon	पर्वतारोहियों
rassiyon	रस्सियों
updeshon	उपदेशों
footage	फुटेज
aushdhiyukt	औषधियुक्त
jukam	जुकाम
tails	टाइल्स
migraine	माइग्रेन
shubhgrah	शुभग्रह
pratikshana	प्रतिक्षण
rcf	आरसीएफ
inesheative	इनिशिएटिव
isase	इससे
aankik	आंकिक
supersonic	सुपरसोनिक
batne	बाटने
kaimganj	कायमगंज
murjhaeye	मुरझाए
sukhant	सुखांत
jhalara	झालरा
assistent	एसिस्टेंट
lalitya	लालित्य
maudha	मौदहा
akalmrityu	अकालमृत्यु
nakamyab	नाकामयाब
grihswami	गृहस्वामी
premikaen	प्रेमिकाएं
chhilka	छिलका
adharon	आधारों
kasaile	कसैले
aushadhiyon	औषधियों
chalaenge	चलाएंगे
dikhega	दिखेगा
spardhaein	स्पर्धाएं
coachlin	कोच्लिन
chartered	चार्टेड
vishwaniiya	विश्वनीय
aapani	आपणी
pahchaanegaa	पहचानेगा
bataanaa	बताना
poojaasthal	पूजास्थल
punchkshar	पंचाक्षर
failate	फैलते
kalkhand	कालखंड
dheeli	ढीली
depo	डिपो
mudssar	मुदस्सर
mansahari	मांसाहारी
balasor	बालासोर
gurushishy	गुरुशिष्य
balchandra	बालचंद्र
boardon	बोर्डों
mahabhoj	महाभोज
rare	रेयर
talibaniyon	तालिबानियों
thalsena	थलसेना
wanchhaniya	वांछनीय
fossil	फॉसिल
janasankhyikiy	जनसांख्यिकीय
peshawari	पेशावरी
chhedhan	छेदन
dhulne	धुलने
shailiyon	शैलियों
gos	गॉस
luca	लुका
prashasit	प्रशासित
shamli	शामली
muchhein	मूछें
brisben	ब्रिस्बेन
nibhataa	निभाता
shamtaon	क्षमताओं
amanviyta	अमानवीयता
paraamarshadaataaon	परामर्शदाताओं
skaip	स्काइप
khinchta	खींचता
udayveer	उदयवीर
karvayegaa	करवाएगा
prushtbhumi	पृष्टभूमि
kadkati	कड़कती
gajni	गजनी
baithey	बैठे
molon	मॉलों
rafu	रफू
aagaaj	आग़ाज़
sahbhaagi	सहभागी
arthashastriyon	अर्थशास्त्रियों
tabkon	तबकों
baspa	बसपा
yeshwantpur	यशवंतपुर
jaswant	जसवंत
aayushman	आयुष्मान
rakhvaee	रखवाई
sarfaraaj	सरफराज
ratnon	रत्नों
beyonce	बियोंसे
microprocessor	माइक्रोप्रोसेसर
sahana	सहना
paramparaen	परंपराएं
hamas	हमास
mehamaanon	मेहमानों
wastushastra	वास्तुशास्त्र
prasadhnon	प्रसाधनों
soybean	सोयाबीन
bhulakkad	भुलक्कड़
bachni	बचनी
shaktiyon	शक्तियों
sastriyata	शास्त्रीयता
floot	फ्लूट
dursanchar	दूरसंचार
jyotisar	ज्योतिसर
stalkhome	स्टॉकहोम
tabahi	तबाही
sukhne	सूखने
paaydaanon	पायदानों
thalvaarbaaz	तलवारबाज
nishedhaadnyaa	निषेधाज्ञा
karibi	करीबी
triple	ट्रिपल
dabaane	दबाने
likhate	लिखते
dashamlav	दशमलव
sukrat	सुकरात
chhudwa	छुड़वा
prasanskaran	प्रसंस्करण
khareedaaron	खरीदारों
shevani	शिवानी
thervad	थेरवाद
poeatic	पोएटिक
sribhagwan	श्रीभगवान
pranodan	प्रणोदन
rangey	रंगे
dasata	दासता
magarmachchhon	मगरमच्छों
aadhyetaon	अध्येताओं
nishanebaazi	निशानेबाजी
tiriya	तिरिया
zaharili	ज़हरीली
sarvahaara	सर्वहारा
nusrat	नुसरत
laatviya	लातविया
jaanbujh	जानबूझ
railing	रेलिंग
jasrana	जसराना
bartav	बरताव
sutri	सूत्री
chhitere	चितेरे
likhawana	लिखवाना
gilbert	गिलबर्ट
lokmanya	लोकमान्य
javaabdehi	जवाबदेही
vikritiyaan	विकृतियां
darren	डेरेन
dugad	दूगड़
doors	डोर्स
khelon	खेलों
arshd	अरशद
shodhkarta	शोधकर्ता
sahaswan	सहसवान
commit	कमिट
aswikrit	अस्वीकृत
pratirakshan	प्रतिरक्षण
vishvastariya	विश्वस्तरीय
sarvkhap	सर्वखाप
kacharu	काचरू
devras	देवरस
kharidte	खरीदते
saptamesh	सप्तमेश
dikshant	दीक्षांत
kritsankalp	कृतसंकल्प
walsh	वाल्श
dhokhebaazi	धोखेबाजी
osiya	ओसियां
tenali	तेनाली
saharsh	सहर्ष
porto	पोर्टो
hamen	हमे
gwale	ग्वाले
gondi	गोंडी
bhujal	भूजल
spinal	स्पाइनल
grejiya	ग्रेजिया
mhanagari	महानगरी
nasscom	नैसकॉम
sheshadri	शेषाद्री
cylinderon	सिलेंडरों
prakriyadhin	प्रक्रियाधीन
birthday	बर्थडे
rasmalai	रसमलाई
directors	डायरेक्टर्स
balachander	बालचंद्र
bhaktigan	भक्तगण
raceling	रेसलिंग
finaliston	फाइनलिस्टों
virajit	विराजित
jamaavaraa	जमावड़ा
sammanniy	सम्माननीय
early	अर्ली
punchkosi	पंचकोसी
danavon	दानवों
vivaan	विवान
rasikaa	रसिका
devaansh	देवांश
debara	डेबरा
bakwas	बकवास
kyc	केवाईसी
nishedh	निषेध
andrics	एंट्रिक्स
railmondal	रेलमंडल
servivces	सर्विसेज
isairyat	ईसाईयत
teelon	टीलों
vaampanth	वामपंथ
microbe	माइक्रोब
ramashrey	रामाश्रय
taaliyon	तालियों
jhelni	झेलनी
ratings	रेटिंग्स
nepaliyon	नेपालियों
rithvik	ऋत्विक
doorbin	दूरबीन
gadget	गेजेट
shityuddh	शीतयुद्ध
dhrmopadesh	धर्मोपदेश
ponting	पोंटिंग
nirvahan	निर्वहन
gavli	गवली
neuropathy	न्यूरोपैथी
kaend	कैंड
agah	आगाह
mixture	मिक्सचर
chaminda	चमिंडा
avivekpurn	अविवेकपूर्ण
sikhane	सिखाने
malkhrauda	मालखरौदा
tiria	तिरिया
wanua	वानुआ
taazgi	ताजगी
charkhi	चरखी
prastota	प्रस्तोता
atmasamman	आत्मसम्मान
palamu	पलामू
lataayen	लताएं
falahar	फलाहार
vedvyas	वेदव्यास
paramaanuon	परमाणुओं
tk	टीके
aayaami	आयामी
banjar	बंजर
adamy	अदम्य
mistakes	मिस्टेक्स
naajir	नाजिर
chandrakanta	चंद्रकांता
janpadon	जनपदों
jaanchta	जांचता
naipaul	नायपॉल
dusve	दसवें
kabij	क़ाबिज़
manspeshiyon	मांसपेशियों
parashar	पाराशर
ballebaazi	बल्लेबाजी
detectors	डिटेक्टर्स
vimanpattan	विमानपत्तन
daltonganj	डाल्टनगंज
nibhaanaa	निभाना
janhvii	जाह्नवी
dendaariyan	देनदारियां
prashanpatron	प्रश्नपत्रों
deviyaan	देवियां
shahdaba	शाहदाबा
ghapla	घपला
tyunishiya	ट्यूनीशिया
solahavin	सोलहवीं
pracharini	प्रचारिणी
vidhaanon	विधानों
rui	रुई
samaveshi	समावेशी
parakhe	परखे
infinity	इनफिनिटी
wine	वाइन
jinaki	जिनकी
gatiyon	गतियों
airliner	एयरलाइनर
